2025-10-27T03:34:31.000000000Z [inf]  Starting Container
2025-10-27T03:34:32.358443796Z [inf]  ======================================
2025-10-27T03:34:32.358465758Z [inf]  🚂 RAILWAY STARTUP SCRIPT
2025-10-27T03:34:32.358487383Z [inf]  ======================================
2025-10-27T03:34:32.358506418Z [inf]  Time: Mon Oct 27 03:34:31 UTC 2025
2025-10-27T03:34:32.358526696Z [inf]  
2025-10-27T03:34:32.358554113Z [inf]  🔄 Running database migrations with drizzle-kit...
2025-10-27T03:34:32.907172250Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-10-27T03:34:32.907182036Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-10-27T03:34:33.426265481Z [inf]  Using 'pg' driver for database querying
2025-10-27T03:34:33.659891842Z [inf]  [⣷] Pulling schema from database...
2025-10-27T03:34:33.805004491Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-27T03:34:33.911609326Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-27T03:34:34.036824001Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-27T03:34:34.332787887Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-27T03:34:34.332796176Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-10-27T03:34:34.422207551Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-10-27T03:34:34.554588302Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-10-27T03:34:34.679860963Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-27T03:34:34.812598243Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-27T03:34:34.937216878Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-27T03:34:35.066636556Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-27T03:34:35.328490653Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-10-27T03:34:35.328501492Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-10-27T03:34:35.450534589Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-10-27T03:34:35.609644951Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-27T03:34:35.709484819Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-27T03:34:35.849024338Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-27T03:34:35.973280261Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-27T03:34:36.016866787Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-10-27T03:34:36.319497297Z [inf]  [i] No changes detected
2025-10-27T03:34:36.319513780Z [inf]  
2025-10-27T03:34:36.319535518Z [inf]  ✅ Database migrations completed successfully!
2025-10-27T03:34:36.319553629Z [inf]  
2025-10-27T03:34:36.319573392Z [inf]  🚀 Starting Node.js application...
2025-10-27T03:34:37.808180231Z [inf]  [db] ✅ Added sslmode=no-verify to connection string for production
2025-10-27T03:34:37.808194582Z [inf]  [db] Environment: NODE_ENV=production, PORT=8080
2025-10-27T03:34:37.808211014Z [inf]  [db] Using DATABASE_URL: postgresql://***@postgres.railway.internal:5432/railway
2025-10-27T03:34:37.808224608Z [inf]  [db] Pool config: connectionTimeoutMillis=30000, max=20, ssl=enabled (rejectUnauthorized: false)
2025-10-27T03:34:37.808240075Z [inf]  [db] SSL Configuration: {"rejectUnauthorized":false}
2025-10-27T03:34:37.808253367Z [inf]  [db] Connection string includes SSL params: true
2025-10-27T03:34:37.808266960Z [inf]  [PERFORMANCE] System prompt base cached (21338 chars) - saves ~4KB per request
2025-10-27T03:34:37.809502493Z [inf]  [PLATFORM-HEALING] PROJECT_ROOT: /app
2025-10-27T03:34:37.822410544Z [inf]  [PERFORMANCE] Compression middleware enabled - responses will be 70-80% smaller
2025-10-27T03:34:37.828446170Z [inf]  [PLATFORM-HEALING] Session manager connected to WebSocket
2025-10-27T03:34:37.828468501Z [inf]  [PLATFORM-METRICS] Starting WebSocket broadcaster (5s intervals)
2025-10-27T03:34:37.828565914Z [inf]  📡 WebSocket server initialized at /ws
2025-10-27T03:34:37.841351050Z [inf]  ✅ All routes registered successfully
2025-10-27T03:34:37.841375188Z [inf]  🔍 Testing database connection...
2025-10-27T03:34:37.889183914Z [inf]  3:34:37 AM [express] serving on port 8080
2025-10-27T03:34:37.889202804Z [inf]  🌐 Server accessible at http://0.0.0.0:8080
2025-10-27T03:34:38.022106143Z [inf]  ✅ Database connected successfully
2025-10-27T03:34:38.022122695Z [inf]  🔧 Auto-healing system ENABLED (production mode)
2025-10-27T03:34:38.022132219Z [inf]  
2025-10-27T03:34:38.022140190Z [inf]  🔍 Checking GitHub integration configuration...
2025-10-27T03:34:38.022147134Z [inf]  ✅ GitHub integration configured successfully
2025-10-27T03:34:38.022155895Z [inf]     - Repository: 6-7Development/archetype
2025-10-27T03:34:38.022163418Z [inf]     - Branch: main
2025-10-27T03:34:38.022171007Z [inf]     - Token: ✓ (configured)
2025-10-27T03:34:38.022179289Z [inf]     - Owner User ID: Not set (owner must be manually marked in database)
2025-10-27T03:34:38.022187336Z [inf]     - Maintenance mode: Available for owner
2025-10-27T03:34:38.022197114Z [inf]  
2025-10-27T03:34:39.927137381Z [inf]  ✅ WebSocket client connected
2025-10-27T03:34:39.978775728Z [inf]  📡 [WS] Session registered: userId=admin, sessionId=platform-healing
2025-10-27T03:34:59.979126534Z [err]    signal: null,
2025-10-27T03:34:59.979129194Z [err]  Failed to get git info, using defaults: Error: Command failed: git rev-parse HEAD
2025-10-27T03:34:59.979158376Z [err]  fatal: not a git repository (or any of the parent directories): .git
2025-10-27T03:34:59.979174825Z [err]    cmd: 'git rev-parse HEAD',
2025-10-27T03:34:59.979185447Z [err]  
2025-10-27T03:34:59.979210312Z [err]      at genericNodeError (node:internal/errors:984:15)
2025-10-27T03:34:59.979213394Z [err]    stdout: '',
2025-10-27T03:34:59.979248469Z [err]    stderr: 'fatal: not a git repository (or any of the parent directories): .git\n'
2025-10-27T03:34:59.979256961Z [err]      at wrappedFn (node:internal/errors:538:14)
2025-10-27T03:34:59.979286656Z [err]  }
2025-10-27T03:34:59.979288611Z [err]      at ChildProcess.exithandler (node:child_process:422:12)
2025-10-27T03:34:59.979317714Z [err]      at ChildProcess.emit (node:events:524:28)
2025-10-27T03:34:59.979324035Z [inf]  3:34:54 AM [express] GET /api/deployment-info 200 in 39ms :: {"version":"1.0.0","commitHash":"unknow…
2025-10-27T03:34:59.979355574Z [err]      at maybeClose (node:internal/child_process:1104:16)
2025-10-27T03:34:59.979374499Z [inf]  ❌ WebSocket client disconnected (user: admin)
2025-10-27T03:34:59.979375102Z [err]      at Socket.<anonymous> (node:internal/child_process:456:11)
2025-10-27T03:34:59.979403988Z [err]      at Socket.emit (node:events:524:28)
2025-10-27T03:34:59.979425061Z [err]  Failed to get git info, using defaults: Error: Command failed: git rev-parse HEAD
2025-10-27T03:34:59.979433158Z [err]      at Pipe.<anonymous> (node:net:343:12) {
2025-10-27T03:34:59.979458189Z [err]  fatal: not a git repository (or any of the parent directories): .git
2025-10-27T03:34:59.979459337Z [err]    code: 128,
2025-10-27T03:34:59.979483425Z [err]  
2025-10-27T03:34:59.979505634Z [err]    killed: false,
2025-10-27T03:34:59.981330711Z [err]    cmd: 'git rev-parse HEAD',
2025-10-27T03:34:59.981344880Z [err]      at genericNodeError (node:internal/errors:984:15)
2025-10-27T03:34:59.981353654Z [err]      at Socket.emit (node:events:524:28)
2025-10-27T03:34:59.981365638Z [err]    stdout: '',
2025-10-27T03:34:59.981387151Z [err]      at Pipe.<anonymous> (node:net:343:12) {
